CLAVECCT,NIVEL,CCT,Soste,NOMBRE,ID_Turno,TURNO,DOMICILIO,LOCALIDAD,ALCALDÍA,SERVICIO_REGIONAL,DIRECCION_OPERATIVA,DEPENDENCIA_NORMATIVA,DIRECCION_GENERAL,SOSTENIMIENTO_F911,SOSTENIMIENTO_AEFCM,Coord X_DPE,Coord y_DPE,cve_col,colonia,pob_2010,C_US,NIVEL
09DJN0218V,Preescolar,DJN,Público,SALTILLO,5,TIEMPO COMPLETO,CALLE 24 S/N,COLONIA ALDANA,AZCAPOTZALCO,32,Dirección Operativa de Educación Preescolar No. 2,COORDINACION SECTORIAL DE EDUCACION PREESCOLAR,DGOSE,Federal,Federal,-99.14965833,19.46896667,02-002,ALDANA,3378,5,MUY ALTA
09DPR1595U,Primaria,DPR,Público,FRANCISCO DE PAULA HERRASTI,7,JORNADA AMPLIADA,CALLE 5 279,COLONIA ALDANA,AZCAPOTZALCO,42,Dirección Operativa de Educación Primaria No. 2,COORDINACION SECTORIAL DE EDUCACION PRIMARIA,DGOSE,Federal,Federal,-99.14904444,19.47052778,02-002,ALDANA,3378,5,MUY ALTA
09DJN0260K,Preescolar,DJN,Público,TRABAJADORES PETROLEROS,7,JORNADA AMPLIADA,ANDADOR ARCHIDONA S/N,BARRIO NUEVO BARRIO SAN RAFAEL,AZCAPOTZALCO,32,Dirección Operativa de Educación Preescolar No. 2,COORDINACION SECTORIAL DE EDUCACION PREESCOLAR,DGOSE,Federal,Federal,-99.18838611,19.48908611,02-053,NUEVO SAN RAFAEL (BARR),2786,5,MUY ALTA
09UDI0004O,Educación Inicial,UDI,Público,CENDI UAM NO 1,5,TIEMPO COMPLETO,AVENIDA REAL DE SAN MARTIN  208,COLONIA REYNOSA TAMAULIPAS,AZCAPOTZALCO,32,Dirección Operativa de Educación Preescolar No. 2,INSTITUTO O UNIVERSIDAD AUTONOMO,DGOSE,Autónomo,Autónomo,-99.185764,19.496854,02-067,REYNOSA TAMAULIPAS,7490,5,MUY ALTA
09DPR1615R,Primaria,DPR,Público,CIUDAD REYNOSA,2,VESPERTINO,CALLE REFINERIA MINATITLAN S/N,COLONIA REYNOSA TAMAULIPAS,AZCAPOTZALCO,42,Dirección Operativa de Educación Primaria No. 2,COORDINACION SECTORIAL DE EDUCACION PRIMARIA,DGOSE,Federal,Federal,-99.188425,19.49303056,02-067,REYNOSA TAMAULIPAS,7490,5,MUY ALTA
09DPR1616Q,Primaria,DPR,Público,CIUDAD REYNOSA,1,MATUTINO,CALLE REFINERIA MINATITLAN S/N,COLONIA REYNOSA TAMAULIPAS,AZCAPOTZALCO,42,Dirección Operativa de Educación Primaria No. 2,COORDINACION SECTORIAL DE EDUCACION PRIMARIA,DGOSE,Federal,Federal,-99.188425,19.49303056,02-067,REYNOSA TAMAULIPAS,7490,5,MUY ALTA
09PJN5163Y,Preescolar,PJN,Privada,COLEGIO MENAGEN BEGUIN,1,MATUTINO,CALLE POZO PEDREGAL 91 INT NINGUNO,COLONIA REYNOSA TAMAULIPAS,AZCAPOTZALCO,32,Dirección Operativa de Educación Preescolar No. 2,COORDINACION SECTORIAL DE EDUCACION PREESCOLAR,DGOSE,Particular,Particular,-99.185616,19.495258,02-067,REYNOSA TAMAULIPAS,7490,5,MUY ALTA
09PPR1555Y,Primaria,PPR,Privada,MENAGEN BEGUIN,1,MATUTINO,CALLE POZO PEDREGAL 91 INT NINGUNO,COLONIA REYNOSA TAMAULIPAS,AZCAPOTZALCO,42,Dirección Operativa de Educación Primaria No. 2,COORDINACION SECTORIAL DE EDUCACION PRIMARIA,DGOSE,Particular,Particular,-99.18562,19.495341,02-067,REYNOSA TAMAULIPAS,7490,5,MUY ALTA
09PJN2754N,Preescolar,PJN,Privada,ESTANCIA INFANTIL KIPLING,1,MATUTINO,CALLE CAMPO TORTUGUERO 97,COLONIA REYNOSA TAMAULIPAS,AZCAPOTZALCO,32,Dirección Operativa de Educación Preescolar No. 2,COORDINACION SECTORIAL DE EDUCACION PREESCOLAR,DGOSE,Particular,Particular,-99.18703,19.491695,02-067,REYNOSA TAMAULIPAS,7490,5,MUY ALTA
09DJN0569Z,Preescolar,DJN,Público,PILTZILLI,7,JORNADA AMPLIADA,CALLE 22 DE FEBRERO S/N,BARRIO SAN MARCOS,AZCAPOTZALCO,32,Dirección Operativa de Educación Preescolar No. 2,COORDINACION SECTORIAL DE EDUCACION PREESCOLAR,DGOSE,Federal,Federal,-99.18113889,19.48966944,02-071,SAN ANDRES (BARR),7072,5,MUY ALTA
