id,Inlock,cct_primera_opcion,nombre_primera_opcion,turno_primera_opcion,CCT_PROCED,nombre_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Coord_x_procedencia,Coord_y_procedencia
1,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1932E,JUVENTINO ROSAS,-99.2413,19.3053,-99.2334,19.3066
2,3,09DES0027O,ALFREDO E. URUCHURTU,100,09PPR1532N,NUEVA RAZA,-99.2413,19.3053,-99.230888,19.3093
3,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1892U,ALFONSO TEJA ZABRE,-99.2413,19.3053,-99.2285,19.3093
4,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR2771P,DR. SALVADOR ALLENDE G.,-99.2413,19.3053,-99.2266,19.31
5,3,09DES0027O,ALFREDO E. URUCHURTU,100,09PPR0480R,INSTITUTO GIORDANO BRUNO,-99.2413,19.3053,-99.248758,19.310416
6,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1932E,JUVENTINO ROSAS,-99.2413,19.3053,-99.2334,19.3066
7,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1888H,ALFREDO E. URUCHURTU,-99.2413,19.3053,-99.2467,19.3054
8,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR2676L,PROFR. VICTOR MANUEL MANZANO DELGADO,-99.2413,19.3053,-99.2351,19.277
9,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1927T,MARIANO ABASOLO,-99.2413,19.3053,-99.2338,19.3056
10,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1887I,ALVARO OBREGON,-99.2413,19.3053,-99.2457,19.302
11,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR2225I,GAMBIA,-99.2413,19.3053,-99.2496,19.3156
12,3,09DES0027O,ALFREDO E. URUCHURTU,100,09PPR1631N,MISSISSAUGA INSTITUTE,-99.2413,19.3053,-99.247227,19.306513
13,3,09DES0027O,ALFREDO E. URUCHURTU,100,09PPR0307J,INSTITUTO NURSIA,-99.2413,19.3053,-99.23991944,19.31047778
14,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR2225I,GAMBIA,-99.2413,19.3053,-99.2496,19.3156
15,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR3095M,FRANCISCO NICODEMO,-99.2413,19.3053,-99.2381,19.3051
16,3,09DES0027O,ALFREDO E. URUCHURTU,100,09PPR1857T,"""COLEGIO NOIL""",-99.2413,19.3053,-99.23453056,19.31357778
17,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1932E,JUVENTINO ROSAS,-99.2413,19.3053,-99.2334,19.3066
18,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR1921Z,PROCERES DE LA INDEPENDENCIA,-99.2413,19.3053,-99.212,19.3335
19,3,09DES0027O,ALFREDO E. URUCHURTU,100,09DPR2224J,XICOTENCATL,-99.2413,19.3053,-99.2563,19.3133
