id,CCT_PROCED,nombre_procedencia,cct_primera_opcion,nombre_primera_opcion,Coord_x_procedencia,Coord_y_procedencia,Coord_x_primera_opcion,Coord_y_primera_opcion,Distancia_km
169,09PPR1422H,COLEGIO USIGLI S.C.,09DES0132Z,JAPON,-99.034829,19.35432,-99.0485,19.3414,2.030057118200408
284,09DPR1134K,I.S.S.S.T.E.,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1471,19.4561,-99.1616,19.4426,2.1365326298455316
47,09DPR1408J,JOSÉ CLEMENTE OROZCO,09DES0085E,REPÚBLICA DE FRANCIA,-99.1011,19.4536,-99.0809,19.4505,2.1457970389585115
45,09DPR1408J,JOSÉ CLEMENTE OROZCO,09DES0085E,REPÚBLICA DE FRANCIA,-99.1011,19.4536,-99.0809,19.4505,2.1457970389585115
81,09DPR2068I,ITZCOATL,09DES0107Z,XOCHIMILCO,-99.0959,19.24,-99.105,19.2573,2.1478188918473693
364,09PPR1853X,COLEGIO HAYDEN S.C.,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.061072,19.340886,-99.0413,19.3349,2.1786756176412077
84,09DPR2026J,CRISTÓBAL COLÓN,09DES0107Z,XOCHIMILCO,-99.1237,19.2481,-99.105,19.2573,2.2136166519212255
295,09DPR2141A,MIGUEL HIDALGO,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1782,19.455,-99.1616,19.4426,2.2204765549003986
249,09DPR1146P,ALBINO GARCÍA,09DES0318D,XALPA,-99.038,19.345,-99.0166,19.3449,2.2452516065388197
308,09PPR0412U,COLEGIO MÉXICO,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.158199,19.422495,-99.1616,19.4426,2.2638411273946906
191,09DPR5049O,WILFRIDO MASSIEU,09DES0132Z,JAPON,-99.0622,19.3575,-99.0485,19.3414,2.2958335922333917
136,09DPR2805P,ISIDRO FABELA,09DES0117G,GABRIELA MISTRAL,-99.0251,19.3803,-99.0435,19.3919,2.321332995388752
123,09DPR2805P,ISIDRO FABELA,09DES0117G,GABRIELA MISTRAL,-99.0251,19.3803,-99.0435,19.3919,2.321332995388752
395,09DPR3022U,FELIX F. PALAVICINI,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.0587,19.3483,-99.0413,19.3349,2.3564650190731595
212,09DPR5114Y,LUCIO CABAÑAS BARRIENTOS,09DES0132Z,JAPON,-99.0396,19.3217,-99.0485,19.3414,2.381285206987661
180,09DPR5114Y,LUCIO CABAÑAS BARRIENTOS,09DES0132Z,JAPON,-99.0396,19.3217,-99.0485,19.3414,2.381285206987661
158,09DPR5116W,LUCIO CABAÑAS BARRIENTOS,09DES0132Z,JAPON,-99.0396,19.3217,-99.0485,19.3414,2.381285206987661
277,09DPR1713S,FRANCISCO SANTOYO MALDONADO,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.182,19.4522,-99.1616,19.4426,2.390532376845773
67,09DPR2193G,EMPERADOR CUAUHTÉMOC,09DES0085E,REPÚBLICA DE FRANCIA,-99.058,19.4479,-99.0809,19.4505,2.4184036160236575
65,09DPR2193G,EMPERADOR CUAUHTÉMOC,09DES0085E,REPÚBLICA DE FRANCIA,-99.058,19.4479,-99.0809,19.4505,2.4184036160236575
66,09DPR2193G,EMPERADOR CUAUHTÉMOC,09DES0085E,REPÚBLICA DE FRANCIA,-99.058,19.4479,-99.0809,19.4505,2.4184036160236575
293,09DPR1691X,OROZCO Y BERRA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1795,19.4574,-99.1616,19.4426,2.4961303061791633
214,09DPR0112S,PROFR. RAMIRO SÁNCHEZ LÓPEZ,09DES0132Z,JAPON,-99.0275,19.3308,-99.0485,19.3414,2.4988243252154656
372,09DPR4165Y,DANIEL COSIO VILLEGAS,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.0379,19.3123,-99.0413,19.3349,2.538203448322322
216,09DPR4511Q,REPÚBLICA ARABE DE EGIPTO,09DES0132Z,JAPON,-99.0378,19.3209,-99.0485,19.3414,2.540978714984285
247,09DPR1332K,CUAUHTÉMOC,09DES0317E,OCTAVIO PAZ,-99.0241,19.3555,-99.0051,19.3407,2.584929712760383
379,09DPR4002N,LUIS PENICHE VALLADO,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.0374,19.3119,-99.0413,19.3349,2.590017446373294
392,09DPR4002N,LUIS PENICHE VALLADO,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.0374,19.3119,-99.0413,19.3349,2.590017446373294
400,09DPR4002N,LUIS PENICHE VALLADO,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.0374,19.3119,-99.0413,19.3349,2.590017446373294
232,09DPR0112S,PROFR. RAMIRO SÁNCHEZ LÓPEZ,09DES0317E,OCTAVIO PAZ,-99.0275,19.3308,-99.0051,19.3407,2.5953057377227298
182,09DPR5076L,LOS SIMBOLOS PATRIOS,09DES0132Z,JAPON,-99.025,19.3338,-99.0485,19.3414,2.6064623347296823
181,09DPR5076L,LOS SIMBOLOS PATRIOS,09DES0132Z,JAPON,-99.025,19.3338,-99.0485,19.3414,2.6064623347296823
324,09DPR2478L,LUIS MURILLO,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1365,19.4402,-99.1616,19.4426,2.6453524350802646
328,09DPR2529B,ALBERTO CORREA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.165,19.4188,-99.1616,19.4426,2.6703472386069826
198,09DPR5074N,PROFR. JOSÉ SANTOS VALDES,09DES0132Z,JAPON,-99.0418,19.3182,-99.0485,19.3414,2.67379675437572
178,09DPR5057X,PROFR. JOSÉ SANTOS VALDES,09DES0132Z,JAPON,-99.0418,19.3182,-99.0485,19.3414,2.67379675437572
222,09DPR5042V,MACUILXOCHITZIN,09DES0132Z,JAPON,-99.027,19.3281,-99.0485,19.3414,2.6974084980771176
131,09DPR3150P,AUGUSTO COMTE,09DES0117G,GABRIELA MISTRAL,-99.0693,19.3913,-99.0435,19.3919,2.7069065979103857
197,09DPR2743T,ANDRÉS MOLINA ENRIQUEZ,09DES0132Z,JAPON,-99.0226,19.3426,-99.0485,19.3414,2.7206738088387796
59,09DPR1087Q,HÉROES DE ZACAPOAXTLA,09DES0085E,REPÚBLICA DE FRANCIA,-99.0977,19.4317,-99.0809,19.4505,2.733706851603857
29,09DPR3076Y,PROFRA. BEATRIZ DE GORTARI Y PÉREZ,09DES0085E,REPÚBLICA DE FRANCIA,-99.0607,19.4677,-99.0809,19.4505,2.853610328437629
53,09DPR1377G,LUIS G. LOZANO,09DES0085E,REPÚBLICA DE FRANCIA,-99.0992,19.4697,-99.0809,19.4505,2.8703820559608624
272,09DPR2926A,RAZON Y FUERZA DE LA REVOLUCION MEXICANA,09DES0318D,XALPA,-98.989,19.3476,-99.0166,19.3449,2.9112086898406546
193,09DPR0861U,30 DE ABRIL,09DES0132Z,JAPON,-99.0732,19.3541,-99.0485,19.3414,2.9512071353546485
40,09DPR1474I,ENRIQUE GONZÁLEZ MARTINEZ,09DES0085E,REPÚBLICA DE FRANCIA,-99.0977,19.4721,-99.0809,19.4505,2.9784276799908866
148,09DPR0050W,PROFR. LUIS G. RAMÍREZ VALADEZ,09DES0117G,GABRIELA MISTRAL,-99.065,19.3742,-99.0435,19.3919,2.993240899139342
32,09DPR1409I,JULIO S. HERNANDEZ,09DES0085E,REPÚBLICA DE FRANCIA,-99.066,19.4743,-99.0809,19.4505,3.073094041778092
25,09DPR2522I,GRAL. FELIPE ANGELES,09DES0085E,REPÚBLICA DE FRANCIA,-99.11,19.4466,-99.0809,19.4505,3.0818060485855976
85,09DPR5079I,MARCELIANO TREJO SANTANA,09DES0107Z,XOCHIMILCO,-99.1194,19.2816,-99.105,19.2573,3.0960688770648033
297,09PPR0245N,INSTITUTO MORELOS,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.18584,19.458574,-99.1616,19.4426,3.1007095799530013
230,09DPR2531Q,ANIBAL PONCE,09DES0132Z,JAPON,-99.0191,19.336,-99.0485,19.3414,3.1425759209707067
39,09DPR2708N,REPÚBLICA ARABE UNIDA,09DES0085E,REPÚBLICA DE FRANCIA,-99.0641,19.427,-99.0809,19.4505,3.151411077940121
309,09PPR1224H,COLEGIO ASPEN,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.18122,19.464345,-99.1616,19.4426,3.174596146062535
302,09DPR2354C,REPÚBLICA DE ARGENTINA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1314,19.4397,-99.1616,19.4426,3.1829980112904623
8,09DPR2676L,PROFR. VICTOR MANUEL MANZANO DELGADO,09DES0027O,ALFREDO E. URUCHURTU,-99.2351,19.277,-99.2413,19.3053,3.21338818098168
246,09DPR0113R,J. CONCEPCIÓN RIVERA,09DES0317E,OCTAVIO PAZ,-99.0313,19.3563,-99.0051,19.3407,3.2503373656555365
87,09DPR2034S,MAESTRO ADOLFO VALLES,09DES0107Z,XOCHIMILCO,-99.1079,19.2268,-99.105,19.2573,3.405083139458462
172,09DPR0019M,DANIEL COSIO VILLEGAS,09DES0132Z,JAPON,-99.0379,19.3123,-99.0485,19.3414,3.4215944582672977
99,09DPR2044Z,CUAHILAMA,09DES0107Z,XOCHIMILCO,-99.0746,19.246,-99.105,19.2573,3.429747990790084
75,09DPR3052O,CUAHILAMA,09DES0107Z,XOCHIMILCO,-99.0746,19.246,-99.105,19.2573,3.429747990790084
48,09DPR1063G,PRESIDENTE MIGUEL ALEMAN,09DES0085E,REPÚBLICA DE FRANCIA,-99.0716,19.42,-99.0809,19.4505,3.5288653809468435
138,09DPR1020I,AUGUSTO CESAR SANDINO,09DES0117G,GABRIELA MISTRAL,-99.0641,19.4175,-99.0435,19.3919,3.573629367939475
299,09DPR2503U,ESPAÑA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.132,19.4265,-99.1616,19.4426,3.583119239595313
330,09DPR1596T,GRAL. ADALBERTO TEJEDA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.174,19.4732,-99.1616,19.4426,3.6424749498993734
333,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
342,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
307,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
286,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
310,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
282,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
290,09DPR1335H,BENITO JUÁREZ,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1596,19.4098,-99.1616,19.4426,3.653218787510484
103,09DPR2563I,TLAMACHIHUAPAN,09DES0107Z,XOCHIMILCO,-99.0736,19.243,-99.105,19.2573,3.6597805546342963
43,09DPR5034M,KUKULKAN,09DES0085E,REPÚBLICA DE FRANCIA,-99.0852,19.4834,-99.0809,19.4505,3.685984220460003
300,09DPR1630J,REPÚBLICA DE COREA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1727,19.4741,-99.1616,19.4426,3.6909135318956987
316,09DPR1572J,ESTADO DE JALISCO,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1506,19.4755,-99.1616,19.4426,3.8357925775212056
320,09PPR0920Y,COLEGIO SIGLO XXI,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.165196,19.408196,-99.1616,19.4426,3.844090993879734
276,09DPR2841U,PROFRA. MA. DE LA LUZ MERCADO MENDEZ,09DES0318D,XALPA,-99.052,19.3539,-99.0166,19.3449,3.8464288950647814
108,09PPR1218X,ROBERTO OWEN,09DES0117G,GABRIELA MISTRAL,-99.031725,19.3588,-99.0435,19.3919,3.8822805566520753
371,09PPR1750A,COLEGIO LUZ BRINGAS,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.079029,19.33594,-99.0413,19.3349,3.9603338198193727
24,09DPR1935B,JOSEFA ORTIZ DE DOMÍNGUEZ,09DES0027O,ALFREDO E. URUCHURTU,-99.2128,19.329,-99.2413,19.3053,3.9860833841319483
361,09DPR5025E,PROFR. JESÚS SOTELO INCLAN,09DST0113C,ESCUELA SECUNDARIA TÉCNICA 113,-99.0741,19.3141,-99.0413,19.3349,4.146644008481197
27,09DPR1517Q,REPÚBLICA DE URUGUAY,09DES0085E,REPÚBLICA DE FRANCIA,-99.1196,19.4628,-99.0809,19.4505,4.2818122854277885
106,09DPR1063G,PRESIDENTE MIGUEL ALEMAN,09DES0117G,GABRIELA MISTRAL,-99.0716,19.42,-99.0435,19.3919,4.295133610981488
133,09DPR0839S,MURALISMO MEXICANO,09DES0117G,GABRIELA MISTRAL,-99.0566,19.3546,-99.0435,19.3919,4.369290370530941
35,09PPR1641U,COLEGIO JEAN PIAGET,09DES0085E,REPÚBLICA DE FRANCIA,-99.077691,19.489855,-99.0809,19.4505,4.3889887472519655
18,09DPR1921Z,PROCERES DE LA INDEPENDENCIA,09DES0027O,ALFREDO E. URUCHURTU,-99.212,19.3335,-99.2413,19.3053,4.391520143764128
238,09DPR4108G,JOSÉ MA. RODRÍGUEZ COS,09DES0317E,OCTAVIO PAZ,-99.0448,19.3281,-99.0051,19.3407,4.3947851537896305
261,09DPR2091J,GUADALUPE CENICEROS DE PÉREZ ZAVALETA,09DES0318D,XALPA,-99.0584,19.3506,-99.0166,19.3449,4.431020165867462
334,09DPR2944Q,MÁRTIRES DE TACUBAYA,09DES1000O,ESCUELA SECUNDARIA ANEXA A LA NORMAL SUPERIOR DE MÉXICO,-99.1901,19.4121,-99.1616,19.4426,4.520371934952755
83,09DPR5128A,DANIEL RAMIREZ PÉREZ,09DES0107Z,XOCHIMILCO,-99.1215,19.2188,-99.105,19.2573,4.6181956672619915
74,09PPR1915T,INSTITUTO ENRIQUETA CASTELLTORT,09DES0085E,REPÚBLICA DE FRANCIA,-99.112612,19.479699,-99.0809,19.4505,4.647044775549055
36,09PPR1915T,INSTITUTO ENRIQUETA CASTELLTORT,09DES0085E,REPÚBLICA DE FRANCIA,-99.112612,19.479699,-99.0809,19.4505,4.647044775549055
